kelime;lemmatization
Abara;değirmene su akıtan oluk
Abbağ;beyaz
Abi;ağabey
Acar;yeni
Acimcik;
Adı batası;domuz
Alaf şalaf;gerekmez ot topluluğu
Ağaz;hayvanların ilk sütü
Ağal;bahçe ekin kenarını çalıyla çevirme
Ağar;ağır
Ağca;pamuk ipliğinden dokunan üzerine hassas şeyleri bulgur pamuk v
Ağzıcığı yumulasıca;ölesice
Ahacıka;i̇şte
Ahancık;i̇şte
Akaba;eğim meyil
Alaancık;gittiği yeri kızartan bir karınca türü aartı ayran yoğurt süt kullanılır
Amanat;emanet
Alafa gitmek;düşünmeden gitmek
Alemençik;serçeye benzer bir kuş
Aleverti;boşu boşuna
Aleyciği;
Aleyçik;çadır çadır kurulan yer
Aleyçik;i̇şçi yayla çadırı
Alkış verme;dua etme
Amanat;emanet
Anaç;tavuğun yaşlısı
Andız;bir tür ağaç
Angara;i̇mece
Annac;karşı yamaç
Anşa;ayşe
Apışma;durup kalmak bir durum karşısında
Arısilli;tertemiz
Arnı Sakar;alnının ortasında beyaz
Arzılar;arzular
Asbap;giysi çamaşır
Aşşa;aşağı
Aval aval;şaşkın şaşkın
Avarlık;ticari olmayan sebze bahçesi
Avcar;dolma tüfekleri atışa hazırlamak kullanılan kapsül saçma barut kurşun
Avırt;yanak
Avrat;kadın eş karı
Ayam ayama dolaşıyor;başım dönüyor halsizim
Ayaz;soğuk
Aydöşşeğe;bir bitki türü
Ayı tapı;bir bitki eğrelti otu
Aykırı;tam tersi aksi
Azarlamak;kızmak
Azzık;yiyecek
Bacanak;hanımın kız kardeşinin kocası
Baldır;bacak
Baldırcan;patlıcan
Baldız;hanımın kız kardeşi
Balk;yıldırım
Bambıl;kokusu kötü bir böcek
Baştangara;bir çeşit serçe
Bayır;eğimli ağaçsız yer
Bazlama;yufka ekmeğin biraz kalın olanı sıcak bazlamanın yenilmesi hoştur
Bedirik;çeyiz anlamında kullanılan bir söz
Bel;toprak kazmaya yarayan ucu sivri kürek
Belcene;kurutulmuş incir
Belemek;sarmak
Belleme;atların semer eğeri çıkarıldıktan sonra üşümemesi sırtına bağlanan
Bellemek;öğrenmek toprağı kazmak
Berk;sıkı fazla
Beşirikli;elinden iyi iş gelen eline çabuk
Beleş;bedava
Bıldır;geçen sene
Bibi;hala
Bider;tohumluk
Birti;biraz
Bişet;bir
Bişme;güveç
Bişşek;yayıkdaki ayranı karıştırmaya yarayan çubuk
Biyaktan;önce
Bocit;sürahi
Boduk;camuz yavrusu
Boğasak;çiftleşme zamanı gelmiş dişi inek
Bohça;i̇çinde giyecek v dolu kalın bez
Bor;ekin tarlaları arasında ekilip sürülmemiş otu bol olan yer
Bostan;bağ bahçe
Bostan;salatalık
Boz;kül rengi
Börk;takke
Börkenek;kapşon
Bukağı;hayvanların hızlı koşmasını önlemek iki ayağını birbirine bağlayan ip
Buncaaz;kadar kadarcık
Buncalı;sefer
Bunmuak;bunalmak
Burgu;ucu kıvrık keskin bıçak
Buzağı;i̇nek yavrusu
Buzalamak;i̇neğin yavrulaması
