kelime;anlam;lowercase;tokens;lemmas;stemmed
Abara;Değirmene su akıtan oluk;akıtan oluk değirmene su;akıtan değirmene oluk su;akıtan değirmene oluk su;akı değirmen oluk su
Abbağ;Çok beyaz;beyaz çok;beyaz;beyaz;beyaz
Abi;Ağabey.;ağabey;ağabey;ağabey;ağabey
Acar;Yeni;yeni;yeni;yeni;yen
Acimcik;Çok az;az çok;;;
Adı batası;Domuz;domuz;domuz;domuz;dom
Alaf şalaf;Gerekmez ot topluluğu;ot gerekmez topluluğu;gerekmez ot topluluğu;gerekmez ot topluluğu;gerekmez ot topluluk
Ağaz;Hayvanların ilk sütü;ilk sütü hayvanların;hayvanların ilk sütü;hayvanların ilk sütü;hayvan ilk süt
Ağal;Bahçe ve ekin kenarını çalıyla çevirme.;ve çalıyla ekin bahçe kenarını çevirme;bahçe ekin kenarını çalıyla çevirme;bahçe ekin kenarını çalıyla çevirme;bahçe ek kenar çalı çevir
Ağar;Ağır;ağır;ağır;ağır;ağır
Ağca;Pamuk ipliğinden dokunan ve üzerine hassas şeyleri (bulgur, pamuk vs);ve pamuk ipliğinden şeyleri bulgur hassas dokunan üzerine pamuk vs;bulgur dokunan hassas ipliğinden pamuk vs üzerine şeyleri;bulgur dokunan hassas ipliğinden pamuk v üzerine şeyleri;bulgur dokunan hassas iplik pamuk v üzer şey
Ağzıcığı yumulasıca;Ölesice;ölesice;ölesice;ölesice;öle
Ahacıka;İşte;i̇şte;i̇şte;i̇şte;i̇şte
Ahancık;İşte bu...;bu i̇şte;i̇şte;i̇şte;i̇şte
Akaba;Eğim, meyil.;meyil eğim;eğim meyil;eğim meyil;ek meyil
Alaancık;Gittiği yeri kızartan bir karınca türü Aartı: Ayran, yoğurt ve süt için kullanılır.;ve karınca süt yeri türü kızartan kullanılır gittiği için aartı yoğurt bir ayran;aartı ayran bir gittiği karınca kullanılır kızartan süt türü yeri yoğurt;aartı ayran bir gittiği karınca kullanılır kızartan süt türü yeri yoğurt;aart ayran bir gittik karı kullanılır kızar süt tür yer yoğurt
Amanat;Emanet.;emanet;emanet;emanet;emanet
Alafa gitmek;Düşünmeden gitmek.;düşünmeden gitmek;düşünmeden gitmek;düşünmeden gitmek;düşünme gitmek
Alemençik;Serçeye benzer bir kuş;kuş bir benzer serçeye;benzer bir kuş serçeye;benzer bir kuş serçeye;benzer bir kuş serçe
Aleverti;Boşu boşuna;boşu boşuna;boşu boşuna;boşu boşuna;boş
Aleyciği;Hepsi;hepsi;;;
Aleyçik;Çadır, çadır kurulan yer.;çadır çadır kurulan yer;kurulan yer çadır;kurulan yer çadır;kurulan yer ça
Aleyçik;İşçi ya da yayla çadırı;yayla i̇şçi çadırı da ya;i̇şçi yayla çadırı;i̇şçi yayla çadırı;i̇şçi yayl çadır
Alkış verme;Dua etme.;etme dua;dua etme;dua etme;du etm
Amanat;Emanet;emanet;emanet;emanet;emanet
Anaç;Tavuğun yaşlısı;tavuğun yaşlısı;tavuğun yaşlısı;tavuğun yaşlısı;tavuk yaş
Andız;Bir tür ağaç;bir tür ağaç;ağaç bir tür;ağaç bir tür;ağaç bir tür
Angara;İmece.;i̇mece;i̇mece;i̇mece;i̇mece
Annac;Karşı yamaç;yamaç karşı;karşı yamaç;karşı yamaç;karş yamaç
Anşa;Ayşe;ayşe;ayşe;ayşe;ayşe
Apışma;Durup kalmak (bir durum karşısında);durup durum bir kalmak karşısında;bir durum durup kalmak karşısında;bir durum durup kalmak karşısında;bir dur durup kalmak karşı
Arısilli;Tertemiz;tertemiz;tertemiz;tertemiz;terte
Arnı Sakar;Alnının ortasında beyaz;alnının beyaz ortasında;alnının beyaz ortasında;alnının beyaz ortasında;alnı beyaz orta
Arzılar;Arzular.;arzular;arzular;arzular;arzu
Asbap;Giysi, çamaşır;giysi çamaşır;giysi çamaşır;giysi çamaşır;giys çamaşır
Aşşa;Aşağı;aşağı;aşağı;aşağı;aşak
